"282,721"
"322,741
(793)
(42,440)
(6,570)
(33,641)
12,481
(640,451)
(518,730)
2,000
478,932"
"(426,471)"
"(53,684)
60,879
(76,800)"
"(69,605)"
"(213,355)
1,117,019"
"903,664"
