DIRECTOR’S NAME,2009 ATTENDANCE (%)
John Simba (Chairman),100%
Tom Gitogo (Chief Executive),100%
Margaret Dawes,100%
Norman Kelly,100%
James Gitoho,100%
Baloobhai Patel,75%
Susan Mudhune*,50%
Robert Dommisse,25%
