Column,Gross portfolio,% change in base,2020,Gross portfolio,% change in base,20
Financial assets,,,KShs.’000,,,KShs.’00
,,,,"18,681,638",+(-)10%,"+(-) 224,1"
,,,,"53,695",10%,4
,,,,"544,763",10%,"3,2"
,,,,"2,763,210",+(-)10%,"+(-) 25,2"
