Column,Group,Column,Company,Column
,2021,2020,2021,2020
,KShs.'000,KShs.'000,KShs.'000,KShs.'000
i) Right of use asset,,,,
,"122,627","94,907","34,092","38,578"
,"36,451","79,884",-,-
,"(39,357)",-,-,-
,"(31,910)","52,164","4,534","4,486"
,"87,811","122,627","29,558","34,092"
Lease liabilities,,,,
,"132,469","85,643","42,682","40,900"
,"36,451","79,884",-,-
,"(36,716)",-,-,-
,"33,913","41,418","4,631","4,772"
,"(64,908)","(74,476)","(6,195)","(2,990)"
,"101,209","132,469","41,118","42,682"
ii) Amounts recognised in profit or loss,,,,
,"33,913","41,418","4,631","4,772"
iii) Amounts recognised in statement of cash flows,,,,
,"64,908","74,476","6,195","2,990"
