Life insurance,"1 year
or less",1–2 years,2–3 years,3–4 years,4–5 years,5–10 years,"More than 10
years"
,KShs ‘000’,KShs ‘000’,KShs ‘000’,KShs ‘000’,KShs ‘000’,KShs ‘000’,KShs ‘000’
Expected Opening Balance of CSM,,,,,,,
Accretion of interest on liabilities under the general model,"243,970","229,860","232,259","192,737","161,039","595,632","1,423,519"
Recognised in statement of profit or loss,,,,,,,
Expected Closing Balance of CSM,,,,,,,
