(b) Company,Note,2024,2023
,,KShs.’000,KShs.’000
,,"188,563",
,,"(4,970)",
,,"9,753",
,,"(900,000)",
,,"(352,597)",
,,"313,079",
,,"649,710",
,,"( 96,462)",
,,"(1,829)",
,,"353,730",
,,"255,439",
,,"( 1,361)",
,,"254,078",
