"Share
capital","Retained
earnings",Total
KShs.’000,KShs.’000,KShs.’000
"720,000","(837,716)","(117,716)"
-,"(561,678)","(561,678)"
"720,000","(1,399,394)","(679,394)"
"720,000","(201,682)","518,318"
-,"(636,034)","(636,034)"
"720,000","(837,716)","(117,716)"
