Column,Group,Column,Company,Column
,2021,"2020
*Restated",2021,2020
,KShs.'000,KShs.'000,KShs.'000,KShs.'000
"Loss for the year, after tax:","(542,359)","(628,312)","(53,736)","(559,678)"
,-,-,-,-
Total comprehensive income for the year,"(542,359)","(628,312)","(53,736)","(559,678)"
Attributable to:,,,,
,"(401,289)","(512,182)","(53,736)","(559,678)"
,"(141,070)","(116,130)",-,-
,"(542,359)","(628,312)","(53,736)","(559,678)"
"*See note 34 for restatements.
The notes set out on pages 106 to 223 form an integral part of these financial statements.",,,,
