Gross mortgage loans,Group,Column
,2021,2020
,KShs.'000,Kshs. ‘000
,"127,639","134,441"
,"5,102","4,854"
,"(8,885)","(11,656)"
,"123,856","127,639"
Impairment:,,
,"(28,203)","(28,362)"
,7,159
,"(28,196)","(28,203)"
,"95,660","99,436"
