Note,2019,2018
,KShs. ‘000,KShs. ‘000
,"550,086","(2,129,186)"
,"23,412",-
,"93,012","66,485"
12 (c),"23,412",-
23,"61,755",-
,"20,653",
6(a),"(2,103,680)","(1,888,975)"
6(b),"41,241","43,371"
6(b),"(463,418)","1,940,210"
6(a),"(96,141)","(13,618)"
6(a),"(150,468)","(281,174)"
6(c),"(2,624)","12,795"
,-,"(86,214)"
23,"(14,170)",-
23,"375,768","191,863"
14(b),-,(314)
,"(1,641,162)","(2,144,757)"
,"(550,966)","27,768"
,"24,346
67,842","(325,655)
(186,150)"
,"(94,730)","(13,797)"
,"27,519",-
,"283,591","(70,360)"
,"130,065","2,579"
,"72,766","(17,515)"
,"(1,680,729)","(2,727,887)"
