Department/Body,Function/Role
"Board of Directors
(Sanlam Kenya PLC and
Sanlam General Insurance
Limited)","Provides oversight and leadership on sustainability matters.
Integrate sustainability into strategic priorities and long-term objectives.
Sets sustainability goals, monitors performance, and holds management account-
able for meeting targets."
Executive Management,"Support implementation of the sustainability strategy.
Integrate sustainability across company and departmental strategies.
Allocate resources to support sustainability efforts.
Ensure timely submission of information for sustainability reporting."
"Audit, Actuarial, and
Risk Committee","Oversees ESG strategy development and recommends changes to the Board.
Monitors objectives and targets for ESG strategy implementation.
Reviews ESG data and content for the company’s annual report.
Monitors operational, regulatory, and reputational ESG risks and provides insights
on risk management."
Head of Sustainability,"Acts as the focal point for sustainability within the organisation.
Leads sustainability reporting and strategy implementation.
Drives organisational transformation where sustainability is a key profitability
driver."
ESG Champions,"Assist the Head of Sustainability in monitoring ESG initiatives.
Proactively assess ESG issues, trends, and risks.
Collect ESG data and oversee project implementation."
