Financial Asset,Impairment approach
Loans (mortgage and policy loans),General approach
"Receivables arising out of direct insurance
arrangements",Simplified approach
Rent and inter-company receivables,General approach
Corporate bonds at amortised cost,General approach
"Deposits with financial institutions at amortised
cost",General approach
Cash and bank balances,General approach
