Member,Directorship Status,2009 Attendance (%)
Margaret Dawes (Chairperson),"Non-Executive Director,
Head - Rest of Africa, SDM",100%
Baloobhai Patel,Non-Executive Director,75%
Robert Dommisse,Non-Executive Director,75%
