EQUITY AND LIABILITIES,Column,2021,"2020
*Restated",2021,2020
,Note,KShs.'000,KShs.'000,KShs.'000,KShs.'000
CAPITAL AND RESERVES,,,,,
,22,"720,000","720,000","720,000","720,000"
,22,"1,599,677","1,323,581",-,-
Retained earnings,,"(1,760,883)","(1,114,681)","(2,012,808)","(1,959,072)"
,,"558,794","928,900","(1,292,808)","(1,239,072)"
,14(c),"36,966","178,036",-,-
TOTAL CAPITAL AND RESERVES,,"595,760","1,106,936","(1,292,808)","(1,239,072)"
LIABILITIES,,,,,
,23,"3,000,000","2,976,861","3,000,000","2,976,861"
,24,"20,914,644","16,831,063",-,-
,24,"2,750,782","3,890,109",-,-
,24,"2,592,275","1,546,627",-,-
,25,"1,965,924","1,847,958",-,-
,27,"685,576","567,249",-,-
,12(c),"101,209","132,469","41,118","42,682"
,26,"34,570","34,620",-,-
,10(b),-,"138,253",-,-
,28,"1,172,231","1,094,521",-,-
,,"111,209","119,189",-,-
,29,"759,757","753,151","76,960","662,074"
TOTAL LIABILITIES,,"34,088,177","29,932,070","3,118,078","3,681,617"
TOTAL EQUITY AND LIABILITIES,,"34,683,937","31,039,006","1,825,270","2,442,545"
*See note 34 for restatements.,,,,,
