"2011
KShs. ‘000",Column
"2,919,735
1,239,494",
"1,985,781
(595,734)
(150,553)","1,678,553 1,678,553
(503,566) (503,566)
(117,540) (117,540)"
"4,159,229",
"4,159,229
(3,748,209)",
"411,020
9,287
144,000",
"564,307",
