1 year,1 - 5 years,"Over 5
years",Tota
Kshs 000,Kshs 000,Kshs ‘000,Kshs ‘00
,"1,974,846","20,065,097
138,582
8,291
-
-
-","22,528,96"
,"101,078",,"327,34"
,"40,085",,"1,366,70"
,-,,"1,148,02"
,-,,"191,19"
,-,,"1,249,54"
,"2,116,009","20,211,970","26,811,78"
,"5,831,760","(617,289)","8,291,04"
