Column,Column,"Share
capital","Statutory
fund","Retained
earnings",Total,"Non-
controlling
interests",Total
,Note,KShs.'000,KShs.’000,KShs.’000,KShs.'000,KShs.'000,KShs.'000
,12,"720,000","1,323,581","(1,114,681)","928,900","178,036","1,106,936"
Total comprehensive income for the year;,,,,,,,
"Loss for the year, after tax",,-,-,"(401,289)","(401,289)","(141,070)","(542,359)"
,22,-,"641,987","(641,987)",-,-,-
,22,-,"(397,074)","397,074",-,-,-
,22,-,"31,183",-,"31,183",-,"31,183"
,,"720,000","1,599,677","(1,760,883)","558,794","36,966","595,760"
,,"720,000","1,312,284","(591,199)","1,441,085","293,937","1,735,022"
Total comprehensive income for the year;,,,,,,,
,,-,-,"(512,182)","(512,182)","(116,130)","(628,312)"
,22,-,"498,513","(498,513)",-,-,-
,22,,"(487,216)","487,216",-,-,-
Transaction with non-controlling interests,,,,,,,
,,-,-,(3),(3),229,226
,,"720,000","1,323,581","(1,114,681)","928,900","178,036","1,106,936"
"*See note 34 for restatements.
The notes set out on pages 106 to 223 form an integral part of these financial statements.",,,,,,,
