"2001
Shs.’000"
"(93,707)
13,934
31,527
24,909
-
(32,021)"
"(55,358)
(43,271)
62,312"
"(36,317)
-"
"(36,317)"
"33,424
(85)"
"33,339"
"(5,859)
(18,365)
-
1,250
-"
"(22,974)"
"(25,952)
44,304"
"18,352"
