8. Operating expenses,Group,Column,Company,Column
,2021,2020,2021,2020
,KShs.'000,"KShs.'000
Restated",KShs.'000,KShs.'000
Other operating expense include:,,,,
,"1,033,929","924,057","174,039","155,933"
,"16,730","20,442",-,-
,"85,225","78,850","5,563","6,685"
,"31,910","52,164","4,534","4,486"
Fees for managerial and administrative services:,,,,
,"16,976","19,127","3,815","4,244"
,"4,229","6,641","2,448","2,449"
,"83,629","47,534","4,729","(1,057)"
,"5,576","1,391",-,-
,"110,927","75,884",-,-
,"7,260","41,615",-,-
,"157,713","103,649","9,931","9,635"
,"6,441","6,196",171,126
,"56,238","47,420","1,070",-
,"731,305","1,178,323","39,899","60,558"
,"2,348,088","2,603,293","246,199","243,059"
"Other expenses comprise marketing expenses, printing and stationery expenses and other office expenses.",,,,
9. Staff costs,Group,,Company,
,2021,2020,2021,2020
,KShs.'000,KShs.'000,KShs.'000,KShs.'000
,"75,345","73,429","11,520","11,180"
,458,476,31,31
,"958,126","850,152","162,488","144,722"
,"1,033,929","924,057","174,039","155,933"
