At 31 December 2021:,Amortised cost,"Fair value through profit
or loss",Total
,KShs.'000,KShs.'000,KShs.'000
,-,"671,655","671,655"
,-,"25,259,492","25,259,492"
,-,"1,048,650","1,048,650"
,-,"26,979,797","26,979,797"
At 31 December 2020:,Amortised cost,"Fair value through profit
or loss",Total
,KShs.'000,KShs.'000,KShs.'000
,-,"516,342","516,342"
,-,"22,012,625","22,012,625"
,-,"1,247,857","1,247,857"
,-,"23,776,824","23,776,824"
Company,,,
Assets measured at fair value through profit or loss,,2021,2020
,,KShs.'000,KShs.'000
,,"180,357",-
,,"180,357",-
