Column,Group,Column,Company,Column
,2024,2023,2024,2023
Statement of profit or loss,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,,"39,531
-
-
329,824",,"1,254
-
-
-"
,"17,031",,"1,491",
,( 341),,"(1,029)",
,( 815),,-,
,"590,370",,-,
,"606,245","369,355
242,787",462,"1,254
(536,112)"
,"1,661,132",,"188,563",
,,"72,837
(252,100)
323,313
(3,508)
-
-
228,813",,"(160,834)
162,088
-
-
-
-
-"
,"498,339",,"56,569",
,"(721,257)",,"(55,078)",
,"239,949",,-,
,(341),,"(1,029)",
,(815),,-,
,(988),,-,
,"591,358",,-,
,"606,245","369,355",462,"1,254"
