Column,2021,2020
,KShs.'000,Kshs. ‘000
,"2,750,782","3,890,108"
,"2,592,275","1,546,627"
,"5,343,057","5,436,735"
"Insurance contracts
The insurance contract liabilities are shown gross of bonus declaration. Bonus to with profit policies was declared and
credited as follows:",,
,1.5%,1.5%
,1.5%,1.5%
,3.0%,3.0%
