Column,Column,Group,Column,Compan,Column
,,2020,2019,2020,201
,Note,KShs.’000,KShs.’000,KShs.’000,KShs.’00
,,,,"(739,907)","(557,23"
,,,,"(556,160)","(479,29"
,,,,-,
,,,,"(556,160)","(479,29"
,,,,"(3,518)","(82,38"
,,,,"(559,678)","(561,67"
(Loss)/profit attributable to:,,,,,
,,,,"(559,678)","(561,67"
,,,,-,
Earnings per share:,,,,,
,,,,(3.89),(3.9
,,,,(3.89),(3.9
