Country of incorporation and domicile,Primary business operation,"%
Held"
"Kenya
Kenya","Life insurance
General insurance","100
71.86"
Kenya,Investment,100
Kenya,Investment Managers,100
Kenya,Investment in Properties (dormant),100
Kenya,Dealing with bottled water (dormant),100
