Item,"Amount
(KShs)",%
Company’s Share Capital,"500,000,000",100.00
Number of Un-Issued Shares,"452,000,000",90.40
Total Number of Issued Shares,"48,000,000",9.60
"Total Number of Shares
Immobilised by the CDSC","9,853,097",20.53
"Total Number of
Non-immobilised Shares","38,146,903",79.47
