Item,Shares,%
Company's Share Capital,"480,000,000",-
Number of Un-Issued Shares,"404,000,000",-
Total Number of Issued Shares,"96,000,000",
Total Number of Shares Issued by CDSC,"32,544,359",34
Total Number of Non-Immobilized Shares,"63,455,641",66
