In millions of KShs,Column,Column,Column,Column,Column
,2024,2023,2022,2021,2020
,,"243
(127)","Restated
286
( 83)","(414)
(542)","(529)
(628)"
,"1,661",,,,
,"1,055",,,,
,,"2023
686
1,061
388","2022
( 82)
2,045
881","2021
IFRS 4*
IFRS 4*
IFRS 4*","2020
IFRS 4*
IFRS 4*
IFRS 4*"
,2024,,,,
,644,,,,
,"5,273",,,,
,"1,526",,,,
,,"2023
866
25,154
2,776
720
35,535","2022
Restated
993
25,938
3,686
720
36,717","2021 2020
Restated
1,076 1,107
24,200 20,894
3,969 1,373
720 720
34,254 31,039",
,2024,,,,
,"1,921",,,,
,"27,535",,,,
,"2,623",,,,
,720,,,,
,"39,166",,,,
,,"KShs
( 1.12)
864","Restated
KShs
( 0.50)
1,380","KShs
( 2.79)
1,663","KShs
( 3.55)
1,865"
,KShs,,,,
,6.67,,,,
,713,,,,
,,"9.58
6
6","15
7.56
9.58","14
9
11.55","22
20
12.95"
,6.70,,,,
,3.90,,,,
,4.95,,,,
