Column,Number of lives,Column,Before Reinsurance,Column,After reinsurance,Column
,2019,2018,2019,2018,2019,2018
KShs.’000,,,KShs.’000,KShs.’000,KShs.’000,KShs.’000
,"174,083","133,322","57,154,925","5,099","57,153,925","2,626"
,"11,762","24,091","59,062,140","17,224","48,314,336","8,794"
,"7,673","38,416","94,867,785","47,004","32,590,112","15,499"
,316,191,"13,627,326","168,660","1,366,112","56,574"
,148,218,"12,058,313","253,152","614,112","86,320"
