Column,Group,Column,Company,Column
,2024,2023,2024,2023
"21
21",KShs.‘000,"KShs.‘000
720,000
2,380,139
(2,288,343)",KShs.‘000,"KShs.‘000
720,000
-
(2,756,959)"
,"720,000",,"720,000",
,"3,371,581",,-,
,"(2,319,915)",,"(2,568,858)",
,"1,771,666","811,796","(1,848,858)","(2,036,959)"
12(b),"149,471","54,454",-,-
,"1,921,137","866,250","(1,848,858)","(2,036,959)"
"23
24
27
10(b)
25
26
22
31",,"27,770,379
53,586
1,020,059
69,670
34,570
903,685
4,657,144
-",,"-
-
-
-
-
116,798
3,516,918
-"
,"27,535,254",,-,
,-,,-,
,"1,445,377",,-,
,"37,644",,-,
,"33,678",,-,
,"1,210,482",,"117,932",
,"4,216,156",,"3,041,628",
,"2,766,204",,-,
,"37,244,795","34,509,093","3,159,560","3,633,716"
,"39,165,932","35,375,343","1,310,702","1,596,757"
