"For the year ended
31 December 2016",Salary,Fees,Bonuses,"Expense
allowances",Total
,"40,400",-,-,-,"40,400"
,-,"2,453",-,-,"2,453"
,-,868,-,-,868
,-,"1,588",-,-,"1,588"
,-,"1,944",-,-,"1,944"
,-,"2,080",-,-,"2,080"
,-,"1,943",-,-,"1,943"
,-,"1,023",-,-,"1,023"
,-,"1,028",-,-,"1,028"
,-,"1,080",-,-,"1,080"
,"40,400","14,007",-,-,"54,407"
