Note,2018,2017
,KShs. ‘000,KShs. ‘000
33(a),"(1,680,729)","(3,041,101)"
,"(123,923)","(313,214)"
,"(1,804,652)","(3,041,101)"
11(a),"(1,663)","(13,160)"
,"(42,355)",
12,"(153,775)","(124,578)"
13(a),"(42,241)","(303,371)"
16,"(855,033)","(1,894,429)"
13 (b),-,"695,000"
15,"(106,825)","(312,659)"
15,"254,789","503,327"
6,"96,141","13,618"
6,"80,680","92,769"
,"2,173,468","2,247,652"
,"1,403,186","904,169"
23,-,"2,466,691"
"23
23","(740,166)
(375,768)","-
(191,863)"
,"33,585
(1,082,349)","-
2,274,828"
,"(1,483,815)","137,896"
,"2,679,107","2,541,211"
21,"1,195,292","2,679,107"
