For the year ended 31 December 2021,"Salary and short-
term benefits",Fees,Bonuses,Expense allowances,Total
,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
,"73,636",-,-,-,"73,636"
,-,"3,498",-,-,"3,498"
,-,"2,766",-,-,"2,766"
,-,"2,396",-,-,"2,396"
,-,"2,537",-,-,"2,537"
,-,"2,854",-,-,"2,854"
,-,"1,340",-,-,"1,340"
,-,"2,642",-,-,"2,642"
,-,"2,501",-,-,"2,501"
,-,"2,942",-,-,"2,942"
,"73,636","23,476",-,-,"97,112"
For the year ended 31 December 2020,,,,,
,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
,"62,003",-,-,-,"62,003"
,-,"3,551",-,-,"3,551"
,-,"2,726",-,-,"2,726"
,-,"2,310",-,-,"2,310"
,-,"2,310",-,-,"2,310"
,-,"2,875",-,-,"2,875"
,-,"2,576",-,-,"2,576"
,-,"1,994",-,-,"1,994"
,-,"2,310",-,-,"2,310"
,-,"2,709",-,-,"2,709"
,"62,003","23,361",-,-,"85,364"
