Column,Group,Column,Company,Column
,2017,2016,2017,2016
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
24,"720,000","720,000","720,000","720,000"
,"15,904","15,809",-,-
24,"1,609,658","1,862,245",-,-
,"1,459,314","1,172,154","(201,682)","(131,042)"
,"3,804,876","3,770,208","518,318","588,958"
,"247,074","162,036",-,-
,"4,051,950","3,932,244","518,318","588,958"
25,"1,030,741",-,"1,030,741",-
26,"13,561,183","12,704,048",-,-
26,"6,568,158","7,653,977",-,-
26,"1,433,027","1,489,407",,
27,"655,110","474,115",-,-
29,"747,449","844,396",-,-
28,"51,925","51,925",-,-
10,"230,684","8,668",-,-
30,"759,006","802,471",-,-
31,"722,251","481,339","311,447","1,315,431"
,"25,759,534","24,510,346","1,342,188","1,315,431"
,"29,811,484","28,442,590","1,860,506","1,904,389"
