Description,"Effective
date",Executive summary
"Classification of liabilities as
current or non-current
(Amendments to IAS 1)",1 Jan 2024,"The amendments clarified how an entity classifies debt and
other financial liabilities as current or non-current in
particular circumstances."
"Lease Liability in a Sale and
Leaseback (Amendments to
IFRS 16)",1 Jan 2024,"Lease Liability in a Sale and Leaseback (Amendments to
IFRS 16) requires a seller-lessee to subsequently measure
lease liabilities arising from a leaseback in a way that it
does not recognise any amount of the gain or loss that
relates to the right of use it retains"
"Non-current Liabilities with
Covenants (Amendments to
IAS 1)",1 Jan 2024,"To clarify how conditions with which an entity must comply
within twelve months after the reporting period affect the
classification of a liability."
"Supplier Finance
Arrangements –
Amendments to IAS 7 and
IFRS 7",1 Jan 2024,"The amendments introduce two new disclosure objectives –
one in IAS 7 and another in IFRS 7 – for a company to
provide information about its supplier finance arrangements
that would enable users (investors) to assess the effects of
these arrangements on the company’s liabilities and cash
flows, and the company’s exposure to liquidity risk."
"IFRS S1 General
Requirements for Disclosure
of Sustainability-related
Financial
Information and IFRS
S2 Climate-related
Disclosures",1 Jan 2024,"The purpose of the standard is to create a global baseline of
investor focused sustainability reporting that local
jurisdictions can build on.
IFRS S1 provides a set of disclosure requirements designed
to enable companies to communicate to investors about the
sustainability-related risks and opportunities they face over
the short, medium and long term.
IFRS S2 sets out specific climate-related disclosures and is
designed to be used with IFRS S1.
IFRS Sustainability Disclosure Standard are subject to
adoption by local regulation to become mandatory."
"Lack of Exchangeability –
Amendments to IAS 21",1 Jan 2024,"Under the amendments, companies will need to provide
new disclosures to help users assess the impact of using an
estimated exchange rate on the financial statements"
"Sale or Contribution of
Assets between an Investor
and its Associate or Joint
Venture (Amendments to
IFRS 10 and IAS 28)",Optional,"The amendments address an inconsistency between the
requirements in IFRS 10 and those in IAS 28 (2011), in
dealing with the sale or contribution of assets between an
investor and its associate or joint venture. The main
consequence of the amendments is that a full gain or loss is
recognized when a transaction involves a business (whether
it is housed in a subsidiary or not). A partial gain or loss is
recognized when a transaction involves assets that do not
constitute a business, even if these assets are housed in a
subsidiary."
