Group,2020,Level 1,Level 2,Level 3,Column
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,Carrying value,"-
-
-
-
-
-
-
-
-
-
-
-
-
-",,"-
-
-
-
-
-
-
-
-
-
-
-
-
-",Fair value
,"300,319",,"300,319",,"300,319"
,"198,477",,"198,477",,"198,477"
,"1,360,652",,"1,360,652",,"1,360,652"
,"89,564",,"89,564",,"89,564"
,"1,148,029",,"1,148,029",,"1,148,029"
,"191,197",,"191,197",,"191,197"
,"1,247,857",,"1,247,857",,"1,247,857"
,"898,595",,"898,595",,"898,595"
,"2,976,861",,"2,976,861",,"2,976,861"
,"1,847,958",,"1,847,958",,"1,847,958"
,"34,620",,"34,620",,"34,620"
,"1,094,521",,"1,094,521",,"1,094,521"
,"119,189",,"119,189",,"119,189"
,"684,653",,"684,653",,"684,653"
