Investor Pool,Records,Shares,Percentage
Local Institutions,149,"88,445,415",61.42%
Local Individuals,"3,448","53,275,865",37.00%
Foreign Investors,220,"2,278,720",1.58%
,"3,817","144,000,000",100.00%
