Column,Strategic thrust,Management effort,Enablers
1,"Strategic partnering
& Channels","Bancassurance partners
Brokers & Independent Agents.
Direct channels","Governance
Customer service
Risk management"
2,Innovation,Technology/Digitization,Talent management
,,Processes,
,,Products,Systems/processes
,,Customer experience/Journey,
3,Strategic Expense management,"Operating mode
Transaction Processing","Data management
Capital management
Data management"
4,Culture & Control environment,Culture change,Leadership
