Summarised statement of comprehensive income,Column,Column
,"2,604,295","2,034,897"
,"71,560","40,982"
,"23,042","193,622"
,"(19,258)","(77,320)"
,-,-
,"3,784","116,302"
,"1,065","37,635"
,"(149,381)","(32,572)"
,"(15,811)
-","73,571
238,000"
,"(165,192)","278,999"
,"418,557","139,558"
,"253,365","418,557"
