"4,339,406","3,927,609","411,797","4,457,569","4,184,264","273,305"
"1,923,799","1,771,670","152,129","2,459,341","2,224,742","234,599"
"(76,917)","(65,890)","(11,027)","(91,066)","(76,701)","(14,365)"
"1,846,882","1,705,780","141,102","2,368,275","2,148,041","220,234"
"6,186,288","5,633,389","552,899","6,825,844","6,332,305","493,539"
"(4,616,236)","(4,035,716)","(580,520)","(4,012,757)","(3,595,898)","(416,859)"
"(1,424,366)","(1,395,607)","(28,759)","(1,380,392)","(1,358,546)","(21,846)"
,,,-,-,-
"(473,175)","(473,175)",-,"(629,943)","(629,943)",-
"(6,513,777)","(5,904,498)","(609,279)","(6,023,092)","(5,584,387)","(438,705)"
"(327,489)","(271,109)","(56,380)","802,752","747,918","54,834"
"20,432,490","18,943,083","1,489,407","19,495,442","18,060,869","1,434,573"
"19,276","19,276",-,"134,296","134,296",-
"20,124,277","18,691,250","1,433,027","20,432,490","18,943,083","1,489,407"
