Item,Shares,%
Company’s Share Capital,"480,000,000",-
Number of Un-Issued Shares,"404,000,000",-
Total Number of Issued Shares,"96,000,000",
Total Number of Shares Issued by CDSC,"24,481,541",25.50
TotalNumber of Non-Immobilised Shares,"71,519,299",74.50
