Investor Pool,Records,Shares,Percentage
Local Institutions,161,"88,437,775",61.42%
Local Individuals,"3,419","53,411,605",37.09%
Foreign Investors,212,"2,150,620",1.49%
,"3,792","144,000,000",100.00%
