Sensitivities,% change in base,Insurance Participating,"Insurance non-
participating",Shareholders’ funds
,,KShs ‘000,KShs ‘000,KShs ‘000
31 December 2021,,,,
,+(-)3%,"+(-) 112,872","+(-) 445,231","+(-)1,468"
,+(-)4%,"+(-)16,932","+(-)5,682","+(-)91,626"
31 December 2020,,,,
,+(-)3%,"+(-) 91,979","+(-) 369,410","+(-) 16,843"
,+(-)4%,+(-) -,-,"+(-)113,200"
