"Share
capital","Retained
earnings",Total
KShs.’000,KShs.’000,KShs.’000
"720,000
-","(2,756,959)
188,101","(2,036,959)
188,101"
"720,000","(2,568,858)","(1,848,858)"
"720,000
-","(2,220,847)
( 536,112)","(1,500,847)
( 536,112)"
"720,000","(2,756,959)","(2,036,959)"
