Investor Pool,Records,Shares,Percentage
Local Institutions,150,"118,747,081",82.46%
Local Individuals,"3,608","23,009,513",15.98%
Foreign Investors,220,"2,243,406",1.56%
TOTAL,,"144,000,000",100.00%
