"As at 31 Dec
2010
KShs.‘000
237,627
157,608",Column
"21,375
136,233","26,405
252,639"
"426,330",
"161,159","122,594"
"247,807
(74,342)
(21,279)
8,973","174,806
(52,442)
(11,513)
11,743"
"(119,813)
48,262
336,722","(325,100)
(232,850)
78,998"
"821,565",
"247,807
(74,342)
(21,279)
8,973","174,806
(52,442)
(11,513)
11,743"
"161,159",
