"Value of in
force","%change
over base"
KShs. ‘000,KShs. ‘000
"822,169",
"804,928",-2.1%
"823,565",0.2%
"857,702",4.3%
"921,385",12.1%
"864,138",5.1%
"848,708",3.2%
"865,740",5.3%
