Column,Level 1,Level 2,Level 3,"Total fair
value"
As at 31 December 2019:,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
,,"424,223","-
-
-
-","1,933,402"
,,-,,"18,681,638"
,,"53,695",,"53,695"
,,"544,763",,"544,763"
,,"1,022,681",-,"21,213,498"
