"Stakeholder
group",The basis of our relationship
"Consumers of Sanlam’s financial
solutions in search of wealth creation,
management and protection goals that
Clients support financial resilience and prosperity",
"Providers of skills and expertise that
support the activities underlying Sanlam’s
Employees business model",
"Providers of financial capital at a Sanlam
Group level
Shareholders",
"Providers of products and services that
enable Sanlam to conduct its business
Business activities; Co-investors in Sanlam
partners businesses where appropriate",
"The base from which demand for Sanlam’s
financial solutions is generated, and from
Society which human resources are employed",
"Partners of Sanlam’s education, social and
enterprise development programmes
Government",
"Providers of financial stability and a
sustainable environment for financial
services through prudential and market
Regulators conduct regulation",
