As at 1 January 2016,Column,Column
Reinsurer’s share of contract liabilities (Note 26(a)),"166,371","158,025"
Reinsurer’s share of unearned premium (Note 27),"67,121","30,352"
Current year movements,,
Increase in reinsurer’s share of contract liabilities (Note 26(a)),"160,970","8,346"
Increase in reinsurer’s share of unearned premiums (Note 27),"26,225","36,769"
