Risk Discount Rate,15.00%,16.00% (base),17.00%
,KShs. ‘000,KShs. ‘000,KShs. ‘000
,"427,309","427,309
828,025","427,309"
,"947,008",,"720,439"
,"1,374,317","1,255,334","1,147,748"
,"(41,784)","(61,701)","(79,805"
