Assets,Note,"External credit
rating","Internal Credit
rating","12-month or
lifetime ECL",2020,201
,,,,,Shs’000,Shs’00
Government securities at fair value through profit or loss,16,B+,-,12 months,"22,012,625","18,681,63"
Corporate bonds at amortised cost,16,-,Group 2,12 months,-,"53,69"
Loans,15,-,Group 2,12 months,"300,319","379,76"
Insurance receivables,20 (a),-,Group 2,Life time,"1,148,029","938,57"
Reinsurers’ share of insurance contract liabilities,18,-,Group 2,Life time,"1,360,652","751,53"
Other receivables (excluding prepayments),20 (b),-,Group 2,"Mix of both life
time & 12","159,111","279,38"
Deposits with financial institutions,21,-,Group 2,12,"1,247,857","544,76"
Cash and bank balances (excluding cash in hand),21,-,Group 2,12,"898,595","650,52"
Total,,,,,"27,127,188","22,279,87"
