Column,"3,067,099",-,-,"3,067,099"
,"2,143,761","1,190,840","657,823","3,992,424"
,"1,619,935","6,453,130","15,200,770","23,273,835"
,-,-,"2,641,567","2,641,567"
,-,-,"1,094,521","1,094,521"
,"684,653",-,-,"684,653"
,"44,934","303,800",-,"348,734"
Total financial liabilities,"7,560,382","7,947,770","19,594,681","35,102,833"
,"489,024","1,974,846","20,065,097","22,528,967"
,"87,688","101,078","138,582","327,348"
,"1,318,325","40,085","8,291","1,366,701"
,"1,148,029",-,-,"1,148,029"
,"191,197",-,-,"191,197"
,"1,249,541",-,-,"1,249,541"
Total assets,"4,483,804","2,116,009","20,211,970","26,811,783"
(Gap)/surplus,"(3,076,578)","(5,831,761)","617,289","(8,291,050)"
