Year ended 31 December 2020,Column,Maximum Insured Loss,Column,Column,Column,Column
,,Kshs 3 - 3m,Kshs 3 - 15m,Kshs 15 - 250m,"Kshs 250 -
1000m",Total
,,Kshs’000,KShs ‘000,KShs ‘000,KShs ‘000,KShs ‘000
,Gross,"27,298,739","7,355,924","3,390,697",-,"38,045,360"
,Net,"23,852,202","1,979,450","375,750",-,"26,207,402"
,Gross,"32,656,868","86,082,017","106,517,117","2,109,720","227,365,722"
,Net,"28,884,093","66,282,281","24,454,000","30,000","119,650,374"
,Gross,"59,955,607","93,437,941","109,907,814","2,109,720","265,411,082"
,Net,"52,736,295","68,261,731","24,829,750","30,000","145,857,776"
