Comprehensive profit or loss attributable to:,Column,Column
Equity holders of the parent,"959,870","(161,128)"
Non-controlling interest,"95,017","34,560"
Profit or loss per share (basic and diluted),6.67,(1.12)
Shares used in calculating profit/loss per share,"144,000,000","144,000,000"
