Number of lives,Column,Before Reinsurance,Column,After reinsurance,Column
2017,2016,2017,2016,2017,2016
,,KShs.’000,KShs.’000,KShs.’000,KShs.’000
"2,405","2,463","188,329,560","188,206,495","188,329,560","188,206,495"
658,622,"185,725,440","175,381,656","185,725,440","175,381,656"
305,293,"150,387,408","143,957,352","150,387,408","143,957,352"
146,137,"100,169,052","93,990,072","100,169,052","93,990,072"
72,65,"64,271,556","58,081,248","64,271,556","58,081,248"
129,121,"202,799,337","184,229,819","202,799,337","184,229,819"
"3,715","3,701","891,682,353","843,846,642","891,682,353","843,846,642"
