Column,Risk type,Description,"Potential significant
impact"
")SKSIR
CIFICEPS(
SSENISUB
DNA
LAICNANIF",Market,"• Market risk refers to when the fair value or future cash flows of financial instruments fluctuate because of
changes in market price. Market risk includes:","Life insurance
General insurance"
,,"• Equity risk: The risk that the fair value of cash flows of a financial instrument will fluctuate as a result of
changes in equity prices.",
,,"• Interest rate risk: The risk that the value of an unmatched financial instrument will fluctuate as a result
of changes in interest rates and the risks that mismatch losses will be incurred in respect to a matched
asset/liability position following changes in interest rates.",
,,"• Foreign Exchange Risk: The risk that the fair value or future cash flows of a financial instrument will
fluctuate because of changes in foreign exchange rates.",
,,"• Property risk: The risk that the value of investment properties will fluctuate as a result of changes in the
environment.","Life insurance
General insurance"
,Credit,"Credit risk is the risk that the Group will incur a financial loss from the inability or unwillingness of a
counterparty to a financial instrument to discharge its contractual obligations. Credit risk includes:",Group
,,"Reinsurance risk: Concentration risk with individual reinsurers, due to the nature of the reinsurance market
and the restricted range of reinsurers that have acceptable credit ratings.","Life insurance
General insurance"
,Liquidity,"Liquidity risk relates to the difficulty/inability to access/raise funds to meet commitments associated with
financial instruments or policy contracts.",All Group businesses
,Insurance,Insurance risk includes:,"Life insurance
General insurance"
,,"• Underwriting risk: The risk that the actual experience relating to mortality, disability and medical risks will
deviate negatively from the expected experience used in the pricing of solutions and valuation of policy
liabilities.",
,,"• Persistency risk: The risk of financial loss due to negative lapse, surrender and paid-up experience.",
,,"• Expense risk: The risk of loss due to actual expense experience being worse than that assumed in
premium rates and the valuation of policy liabilities.",
,,"• Concentration risk: The risk of financial loss due to having written large proportions of business with
policyholders of the same/similar risk profile.",
,Capital adequacy,"Capital adequacy risk refers to when there are insufficient assets to provide for variations in actual future
experience, worse than that which has been assumed in the valuation bases.","Life insurance
General insurance"
