a) Group,2019,2018
,KShs.‘000,KShs.‘000
,"103,156","(2,017,061)"
,"144,000","144,000"
,0.79,(14.01)
,0.79,(14.01)
,"(561,678)","(636,034)"
,"144,000","144,000"
,(3.90),(4.42)
,(3.90),(4.42)
