Column,2018,2017,2018,2017
,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000
22,"720,000","720,000","720,000","720,000"
22,"1,312,284","676,720",-,-
,"(591,199)","(68,620)","(1,399,394)","(837,716)"
,"1,441,085","1,328,100","(679,394)","(117,716)"
,"293,937","258,938",-,-
,"1,735,022","1,587,038","(679,394)","(117,716)"
23,"2,763,210","3,497,432","2,763,210","2,777,380"
24,"14,532,693","14,816,647",-,-
24,"5,073,450","5,340,462",-,-
24,"1,131,718","1,107,372",-,-
25,"1,265,707","899,653",-,-
27,"649,620","360,397",-,-
26,"85,643",-,"40,900",-
26,"34,619","51,925",-,-
10,"11,185","47,322",-,-
28,"972,237","688,646",-,-
29,"777,502","704,736","501,970","400,421"
,"27,297,584","27,514,592","3,306,080","3,177,801"
