Column,Ordinary life,"Super-
annuation",General business,Investments,"Consolidation
adjustments",Total
,KShs.'000,KShs.’000,KShs.’000,KShs.'000,KShs.'000,KShs.'000
,"3,064,428","4,304,834","4,672,756",-,-,"12,042,018"
Premiums ceded to reinsurers,"(60,066)","(1,025,180)","(1,721,933)",-,-,"(2,807,179)"
Net premium Income,"3,004,362","3,279,654","2,950,823",-,-,"9,234,839"
Fee and commission income,"11,821","190,285","373,002",-,-,"575,108"
Investment income,"1,060,763","1,670,506","184,454","1,435,859","(1,458,643)","2,892,939"
Fair value (losses)/gains,"(160,047)","(174,549)","(31,353)","(792,648)","801,497","(357,100)"
Other operating revenue,858,-,-,"72,212",-,"73,070"
,"913,395","1,686,242","526,103","715,423","(657,146)","3,184,017"
,"3,917,757","4,965,896","3,476,926","715,423","(657,146)","12,418,856"
,"(2,379,130)","(2,383,843)","(3,655,253)",-,-,"(8,418,226)"
,"10,206","397,344","1,135,701",-,-,"1,543,251"
,"(1,260,663)","(1,876,180)",-,-,-,"(3,136,843)"
,"1,139,327",-,-,-,-,"1,139,327"
,-,"256,510",-,-,-,"256,510"
,"( 2,490,260)","(3,606,169)","(2,519,552)",-,-,"(8,615,981)"
,-,"(95,644)","(18,755)","(5,563)",-,"(119,962)"
,"(22,000)",-,"(7,282)","(496,854)","7,273","(518,863)"
,"(1,277,723)","(460,040)","1,600,288)","(684,973)","445,292","(3,577,732)"
,"(3,789,983)","(4,161,853)","(4,145,877)","(1,187,390)","452,565","(12,832,538)"
