Year ended 31 December 2020,Motor vehicles,Computer equipment,"Furniture and
equipment",Property,Tot
,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’00
,,"253,400
7,052
4,874",,"446,320
-
-",
,"13,093",,"506,536",,"1,219,34"
,-,,"28,188",,"35,24"
,"(1,232)",,"4,819",,"8,46"
,"11,861","265,326","539,543","446,320","1,263,05"
,,"(228,979)
15,757
(20,150)
(233,372)",,"(13,657)
-
(8,659)
(22,316)",
,"(8,260)",,"(232,996)",,"(483,89"
,38,,"(24,563)",,"(8,76"
,"(2,636)",,"(47,405)",,"(78,85"
,"(10,858)",,"(304,964)",,"(571,51"
,,"24,421",,"432,663",
,"4,833",,"273,540",,"735,4"
,"1,003","31,954","234,578","424,004","691,5"
