KShs ' M 2016 2015 Growth
"Properties 3,055 2,939 4%
Deferred tax 183 170 7%"
"Financial instruments 19,508 18,189 7%"
"Mortgages and other receivables 3,135 1,868 68%
Current tax 66 27 140%
Cash and cash equivalents 2,497 3,916 -36%"
"Total Assets 28,443 27,109 5%"
"Capital and reserves 3,932 3,802 3%
Policyholder liabilities 20,358 19,667 4%
Payables under DA Contracts 1,489 1,435 4%
Deferred Tax 8 44 6 55 29%
Other payables 1 ,819 1 ,550 17%"
"Total Equity and Liabilities 28,443 27,109 5%"
