Column,"Share
capital","Statutory
fund","Retained
earnings",Total,"Non-
controlling
interests",Tot
Note,KShsh.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’000,KShs.’00
,,,"(591,199)
(117,008)
(498,513)
487,216",,"293,937
38,791
-
229",
,,"1,312,284",,"1,441,085",,"1,735,02"
,,-,,"(117,008)",,"(78,21"
,,"498,513",,-,,
,,"(487,216)",,-,,
,,-,,-,,22
,,"1,323,581","(719,504)","1,324,077","332,957","1,657,03"
,,,"(68,620)
113,334
(635,564)
(349)
(591,199)",,"258,938
1,065
-
33,934
293,937",
,,"676,720",,"1,328,100",,"1,587,03"
,,-,,"113,334",,"114,39"
,,"635,564",,-,,
,,-,,(349),,"33,58"
,,"1,312,284",,"1,441,085",,"1,735,02"
,,"1,312,284","(591,199)","1,441,085","293,937","1,735,02"
