Column,< 1 year,1 - 5 years,> 5 years,Open ended,Tot
As at 31 December 2020:,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘000,KShs.‘0
,-,"-
1,974,846
-",-,"516,342
-
-","516,3"
,"489,024",,"19,548,755",,"22,012,6"
,"1,247,857",,-,,"1,247,8"
,"1,736,881","1,974,846","19,548,755","516,342","23,776,8"
,,"-
2,261,137
-
-",,"1,933,402
-
-
-",
,-,,-,,"1,933,4"
,"619,837",,"15,800,664",,"18,681,6"
,"53,695",,-,,"53,6"
,"544,763",,-,,"544,7"
,"1,218,295","2,261,137","15,800,664","1,933,402","21,213,4"
