At 31 December 2020,Carrying amount,Contractual cashflows (undiscounted),Column,Column
,,< 1 year,1 - 5 years,> 5 years
,,KShs ‘000,KShs ‘000,KShs ‘000
Assets,,,,
,"22,012,625","489,024","1,974,846","19,548,755"
,-,-,-,-
,"1,247,857","1,247,857",-,-
,"538,518","538,518",-,-
Total,"23,799,000","2,275,399","1,974,846","19,548,755"
Liabilities,,,,
,"2,976,861","3,067,099",-,-
,"132,469","59,002","236,008",-
Total,"3,109,330","3,126,101","236,008",-
